trap_id,start_date,end_date,ntrapped
5,2014-06-15,2014-06-17,1
6,2014-06-15,2014-06-17,1
7,2014-06-15,2014-06-17,0
3,2014-06-15,2014-06-17,0
8,2014-06-15,2014-06-17,0
13,2014-06-15,2014-06-17,0
17,2014-06-15,2014-06-17,0
12,2014-06-15,2014-06-17,1
11,2014-06-15,2014-06-17,0
10,2014-06-17,2014-06-22,0
14,2014-06-17,2014-06-22,1
19,2014-06-17,2014-06-22,2
18,2014-06-17,2014-06-22,2
23,2014-06-17,2014-06-22,0
27,2014-06-17,2014-06-22,0
28,2014-06-17,2014-06-22,1
24,2014-06-17,2014-06-22,1
20,2014-06-17,2014-06-22,0
25,2014-06-17,2014-06-22,2
29,2014-06-17,2014-06-22,2
30,2014-06-17,2014-06-22,1
31,2014-06-17,2014-06-22,2
26,2014-06-17,2014-06-22,1
22,2014-06-17,2014-06-22,2
21,2014-06-17,2014-06-22,2
16,2014-06-17,2014-06-22,1
15,2014-06-17,2014-06-22,2
9,2014-06-17,2014-06-22,2
4,2014-06-17,2014-06-22,0
1,2014-06-17,2014-06-22,3
2,2014-06-17,2014-06-22,1
5,2014-06-17,2014-06-22,4
6,2014-06-17,2014-06-22,2
7,2014-06-17,2014-06-22,0
3,2014-06-17,2014-06-22,4
8,2014-06-17,2014-06-22,4
13,2014-06-17,2014-06-22,1
17,2014-06-17,2014-06-22,0
12,2014-06-17,2014-06-22,2
11,2014-06-17,2014-06-22,0
10,2014-06-22,2014-06-29,0
14,2014-06-22,2014-06-29,2
19,2014-06-22,2014-06-29,0
18,2014-06-22,2014-06-29,3
23,2014-06-22,2014-06-29,0
27,2014-06-22,2014-06-29,0
28,2014-06-22,2014-06-29,7
24,2014-06-22,2014-06-29,2
20,2014-06-22,2014-06-29,1
25,2014-06-22,2014-06-29,3
29,2014-06-22,2014-06-29,7
30,2014-06-22,2014-06-29,5
31,2014-06-22,2014-06-29,5
26,2014-06-22,2014-06-29,0
22,2014-06-22,2014-06-29,3
21,2014-06-22,2014-06-29,0
16,2014-06-22,2014-06-29,0
15,2014-06-22,2014-06-29,4
9,2014-06-22,2014-06-29,3
4,2014-06-22,2014-06-29,2
1,2014-06-22,2014-06-29,2
2,2014-06-22,2014-06-29,1
5,2014-06-22,2014-06-29,1
6,2014-06-22,2014-06-29,1
7,2014-06-22,2014-06-29,3
3,2014-06-22,2014-06-29,1
8,2014-06-22,2014-06-29,1
13,2014-06-22,2014-06-29,0
17,2014-06-22,2014-06-29,0
12,2014-06-22,2014-06-29,3
11,2014-06-22,2014-06-29,0
10,2014-06-29,2014-07-04,0
14,2014-06-29,2014-07-04,4
19,2014-06-29,2014-07-04,0
18,2014-06-29,2014-07-04,0
23,2014-06-29,2014-07-04,0
27,2014-06-29,2014-07-04,0
28,2014-06-29,2014-07-04,7
24,2014-06-29,2014-07-04,3
20,2014-06-29,2014-07-04,0
25,2014-06-29,2014-07-04,1
29,2014-06-29,2014-07-04,5
30,2014-06-29,2014-07-04,5
31,2014-06-29,2014-07-04,2
26,2014-06-29,2014-07-04,6
22,2014-06-29,2014-07-04,2
21,2014-06-29,2014-07-04,1
16,2014-06-29,2014-07-04,3
15,2014-06-29,2014-07-04,2
9,2014-06-29,2014-07-04,0
4,2014-06-29,2014-07-04,0
1,2014-06-29,2014-07-04,0
2,2014-06-29,2014-07-04,0
5,2014-06-29,2014-07-04,0
6,2014-06-29,2014-07-04,1
7,2014-06-29,2014-07-04,0
3,2014-06-29,2014-07-04,2
8,2014-06-29,2014-07-04,4
